sister_kid_position,sister_kid_position_text,sister_kid_position_text_ab,sister_kid_position_text_F_ab,sister_kid_position_which,sister_kid_position_which_ab,sister_kid_gender,sister_kid_position_which_gender_ab,sister_kid_status,sister_kid_aliveage,sister_kid_yemendeceased,sister_kid_dieyear,sister_kid_diemonth,sister_kid_diedage,sister_kid_governorate,sister_kid_cod,PARENT_KEY,KEY
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,16,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/sister/sisteryour_kid[1],uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,9,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/sister/sisteryour_kid[1],uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,11,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/sister/sisteryour_kid[2],uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,9,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/sister/sisteryour_kid[2],uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,7,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/sister/sisteryour_kid[2],uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,13,,,,,,,uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/sister/sisteryour_kid[1],uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,11,,,,,,,uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/sister/sisteryour_kid[1],uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,9,,,,,,,uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/sister/sisteryour_kid[1],uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,female,الرابعة,alive,6,,,,,,,uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/sister/sisteryour_kid[1],uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[4]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,21,,,,,,,uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/sister/sisteryour_kid[2],uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,17,,,,,,,uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/sister/sisteryour_kid[2],uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,10,,,,,,,uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/sister/sisteryour_kid[2],uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,male,الرابع,alive,6,,,,,,,uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/sister/sisteryour_kid[2],uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[4]
0,first,الأول,الأولى,,,female,,alive,14,,,,,,,uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/sister/sisteryour_kid[3],uuid:3d3c7d1e-b617-40fa-ba40-d8fd1dc3d081/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,9,,,,,,,uuid:faab0fa5-71fb-49ad-977a-b693eb78c6bc/survey/siblingsyour/sister/sisteryour_kid[1],uuid:faab0fa5-71fb-49ad-977a-b693eb78c6bc/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,5,,,,,,,uuid:faab0fa5-71fb-49ad-977a-b693eb78c6bc/survey/siblingsyour/sister/sisteryour_kid[1],uuid:faab0fa5-71fb-49ad-977a-b693eb78c6bc/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,22,,,,,,,uuid:5f355532-147a-40fc-af36-12130ed1577a/survey/siblingsyour/sister/sisteryour_kid[1],uuid:5f355532-147a-40fc-af36-12130ed1577a/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,20,,,,,,,uuid:5f355532-147a-40fc-af36-12130ed1577a/survey/siblingsyour/sister/sisteryour_kid[1],uuid:5f355532-147a-40fc-af36-12130ed1577a/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,7,,,,,,,uuid:ba5e4f40-40b5-4230-a2b3-e8c460cf2ee4/survey/siblingsyour/sister/sisteryour_kid[2],uuid:ba5e4f40-40b5-4230-a2b3-e8c460cf2ee4/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,3,,,,,,,uuid:ba5e4f40-40b5-4230-a2b3-e8c460cf2ee4/survey/siblingsyour/sister/sisteryour_kid[2],uuid:ba5e4f40-40b5-4230-a2b3-e8c460cf2ee4/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[2]
